entryDate,exitDate,entryUnderlying,exitUnderlying,entryRsi,entryIv,entryVix,entryVixMean,entryVixStd,exitIv,strike,entryCost,exitValue,pnl,pnlPct,ageDays,reason,win
2015-08-24,2016-08-23,90.9622,109.8201,19.5554,0.187,40.74,17.2599,5.8633,0.2281,87,1429.9769,2673.9746,1243.9977,0.869942,365,take_profit_75_12_to_15m,true
2015-08-25,2016-08-24,90.6203,109.1101,19.1495,0.187,36.02,17.276,5.8864,0.2282,87,1406.1274,2610.6509,1204.5236,0.856625,365,take_profit_75_12_to_15m,true
2018-02-08,2019-02-25,145.4451,165.8577,32.6322,0.1535,33.46,16.2594,5.6461,0.2714,141,1938.2636,3431.2562,1492.9926,0.770273,382,take_profit_75_12_to_15m,true
2018-02-05,2019-03-15,149.8714,170.4745,34.9852,0.15,37.32,16.2357,5.6202,0.2686,146,1929.9997,3382.4979,1452.4983,0.75259,403,take_profit_75_12_to_15m,true
2018-12-24,2019-11-15,137.1633,195.1252,25.8177,0.2647,36.07,16.3061,5.5208,0.2389,128,2854.6982,7184.2812,4329.583,1.516652,326,take_profit_150_before_12m,true
2018-12-21,2019-12-16,140.6512,201.2412,28.5586,0.2631,30.11,16.2963,5.5045,0.2181,132,2876.3037,7344.564,4468.2603,1.553473,360,take_profit_150_before_12m,true
2018-12-20,2019-12-20,145.1499,203.5876,32.7187,0.2604,28.38,16.2894,5.4972,0.213,136,2960.6738,7187.2599,4226.5861,1.427576,365,take_profit_75_12_to_15m,true
2020-03-12,2020-06-08,170.8867,233.2824,29.0172,0.2788,75.47,16.349,5.6899,0.3928,159,3698.9729,9321.5042,5622.5314,1.520025,88,take_profit_150_before_12m,true
2020-03-16,2020-06-09,163.1577,234.9725,31.8203,0.3327,82.69,16.3956,5.9153,0.3926,151,4003.9623,10035.8345,6031.8722,1.506476,85,take_profit_150_before_12m,true
2020-03-09,2020-07-01,186.5471,242.3372,31.0924,0.241,54.46,16.2937,5.4658,0.4003,176,3562.4229,8938.5999,5376.1769,1.509135,114,take_profit_150_before_12m,true
2020-02-28,2020-07-06,198.3334,249.9801,27.3011,0.2035,40.11,16.2328,5.327,0.4013,189,3318.2812,8703.9276,5385.6463,1.623023,129,take_profit_150_before_12m,true
2020-02-27,2020-07-06,198.1792,249.9801,27.008,0.2036,39.16,16.2224,5.3049,0.4013,189,3307.835,8700.1106,5392.2756,1.630152,130,take_profit_150_before_12m,true
2020-02-25,2020-07-09,207.5562,253.6467,34.0522,0.1936,27.85,16.2075,5.2803,0.4014,198,3359.3326,8431.4024,5072.0698,1.509844,135,take_profit_150_before_12m,true
2022-06-13,2023-06-13,268.5466,356.9288,33.1342,0.3104,34.02,18.0506,7.3333,0.3176,249,6273.8106,12017.2022,5743.3916,0.915455,365,take_profit_75_12_to_15m,true
2022-03-08,2023-06-13,314.9026,356.9288,34.1634,0.2358,35.13,17.8534,7.2755,0.3176,297,5937.9404,7769.539,1831.5986,0.308457,462,take_profit_30_16_to_18m,true
2022-03-07,2023-06-15,316.3731,363.8068,34.8133,0.2402,36.45,17.8473,7.2695,0.3125,298,6055.2912,8202.862,2147.5707,0.35466,465,take_profit_30_16_to_18m,true
2022-06-16,2023-06-16,264.6268,361.5174,33.9971,0.3152,32.95,18.0648,7.343,0.3113,246,6212.3428,12662.7614,6450.4186,1.038323,365,take_profit_75_12_to_15m,true
2022-05-09,2023-07-13,289.7448,373.0529,33.1418,0.2822,34.75,17.9672,7.3025,0.3002,270,6299.2124,11365.8297,5066.6172,0.804326,430,take_profit_75_12_to_15m,true
2022-04-26,2023-07-27,309.2367,370.5635,33.7858,0.2612,33.52,17.9263,7.2763,0.2961,290,6307.2318,9330.0011,3022.7693,0.479255,457,take_profit_30_16_to_18m,true
2022-10-11,2023-10-11,257.1558,365.7792,32.4803,0.3593,33.63,18.2713,7.3717,0.2633,238,6646.5877,13604.8098,6958.222,1.046886,365,take_profit_75_12_to_15m,true
2022-10-12,2023-10-12,257.0678,364.508,32.4297,0.3593,33.57,18.2765,7.3758,0.2627,238,6640.3129,13480.137,6839.8241,1.030045,365,take_profit_75_12_to_15m,true
2024-08-05,2025-08-05,431.325,558.1973,30.2739,0.2036,38.57,18.092,7.0557,0.2941,410,7275.6039,16882.668,9607.0641,1.320449,365,take_profit_75_12_to_15m,true
2025-04-08,2025-08-08,414.0558,572.4244,23.3233,0.257,52.33,18.1177,6.9805,0.2905,388,8375.305,21346.5124,12971.2074,1.548744,122,take_profit_150_before_12m,true
2025-04-04,2025-08-12,420.6339,577.9041,24.3389,0.2571,45.31,18.1001,6.9422,0.2884,394,8519.5893,21300.6512,12781.0619,1.500197,130,take_profit_150_before_12m,true
2025-04-07,2025-09-11,421.649,581.9193,25.0236,0.2565,46.98,18.1082,6.958,0.2806,395,8524.2818,21355.8128,12831.531,1.505292,157,take_profit_150_before_12m,true
