date,equity,openLeapsValue,shortCallLiability,availableCash,openContracts,qqqAdjClose,qqqRsi,qqqIv,vixClose,vixMean,vixStd
2012-01-03,20000,0,0,20000,0,50.312572,56.593537,0.285384,22.969999,24.197707,8.12406
2012-01-04,20000,0,0,20000,0,50.524773,57.81712,0.285423,22.219999,24.189921,8.108938
2012-01-05,20000,0,0,20000,0,50.940365,60.184342,0.285412,21.48,24.179294,8.094739
2012-01-06,20000,0,0,20000,0,51.117188,61.18247,0.285416,20.629999,24.16543,8.081897
2012-01-09,20000,0,0,20000,0,50.949196,59.652458,0.285443,21.07,24.153385,8.068407
2012-01-10,20000,0,0,20000,0,51.32058,61.919651,0.285538,20.690001,24.139961,8.055581
2012-01-11,20000,0,0,20000,0,51.426697,62.566906,0.285543,21.049999,24.128031,8.042246
2012-01-12,20000,0,0,20000,0,51.63007,63.835573,0.285458,20.469999,24.113961,8.029911
2012-01-13,20000,0,0,20000,0,51.44437,61.776749,0.285494,20.91,24.101686,8.016907
2012-01-17,20000,0,0,20000,0,51.91301,64.857143,0.285562,22.200001,24.094427,8.002397
2012-01-18,20000,0,0,20000,0,52.602699,68.837407,0.285974,20.889999,24.082243,7.989554
2012-01-19,20000,0,0,20000,0,52.929874,70.541883,0.28572,19.870001,24.066288,7.978563
2012-01-20,20000,0,0,20000,0,52.850285,69.54536,0.28559,18.280001,24.044453,7.971367
2012-01-23,20000,0,0,20000,0,52.867981,69.648028,0.285428,18.67,24.024248,7.963134
2012-01-24,20000,0,0,20000,0,52.770729,68.285602,0.284981,18.91,24.005094,7.954311
2012-01-25,20000,0,0,20000,0,53.433895,72.2692,0.285356,18.309999,23.983843,7.94702
2012-01-26,20000,0,0,20000,0,53.248196,69.631661,0.285328,18.57,23.963717,7.939044
2012-01-27,20000,0,0,20000,0,53.407372,70.621416,0.285259,18.530001,23.943593,7.931171
2012-01-30,20000,0,0,20000,0,53.451565,70.90494,0.283543,19.4,23.926827,7.92128
2012-01-31,20000,0,0,20000,0,53.522312,71.381097,0.283494,19.440001,23.910331,7.91133
2012-02-01,20000,0,0,20000,0,53.955589,74.169202,0.282796,18.549999,23.890696,7.903435
2012-02-02,20000,0,0,20000,0,54.123589,75.178927,0.282807,17.98,23.869124,7.897024
2012-02-03,20000,0,0,20000,0,54.866333,79.073641,0.283253,17.1,23.844509,7.893162
2012-02-06,20000,0,0,20000,0,54.822124,78.286248,0.283186,17.76,23.822464,7.887306
2012-02-07,20000,0,0,20000,0,54.937073,78.875271,0.283146,17.65,23.80018,7.881734
2012-02-08,20000,0,0,20000,0,55.228867,80.333678,0.283109,18.16,23.779892,7.874764
